latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
12.441,6.332,305.2,1.2,1.1,2021-01-28,0105,A,63,6.0NRT,292.8,8.6,N
11.131,9.094,302,1,1,2021-01-28,0105,A,46,6.0NRT,291.4,5.3,N
11,9.099,310.6,1,1,2021-01-28,0105,A,81,6.0NRT,291.7,10.3,N
11.244,6.716,303.9,1.1,1.1,2021-01-28,0105,A,57,6.0NRT,292.4,7,N
11.75,2.742,300.4,2.1,1.4,2021-01-28,0105,A,26,6.0NRT,287,16.1,N
10.222,7.039,304,1.1,1,2021-01-28,0105,A,58,6.0NRT,292.9,5.6,N
9.332,11.739,300.1,1.3,1.1,2021-01-28,0105,A,4,6.0NRT,289.4,4.7,N
9.322,11.738,304.3,1.3,1.1,2021-01-28,0105,A,58,6.0NRT,291.4,8.2,N
8.569,13.106,307.5,1.6,1.3,2021-01-28,0105,A,47,6.0NRT,295.3,14.4,N
8.628,12.512,303.7,1.5,1.2,2021-01-28,0105,A,56,6.0NRT,293.3,9.4,N
9.44,5.881,309.1,1.2,1.1,2021-01-28,0105,A,76,6.0NRT,292.5,12.1,N
8.162,13.138,301,1.7,1.3,2021-01-28,0105,A,37,6.0NRT,287.3,10.5,N
8.16,13.153,306.2,1.7,1.3,2021-01-28,0105,A,67,6.0NRT,288,17.2,N
8.104,12.78,300.6,1.6,1.2,2021-01-28,0105,A,31,6.0NRT,286.3,10.3,N
8.013,13.062,300.7,1.7,1.3,2021-01-28,0105,A,32,6.0NRT,287.3,10.7,N
8.014,13.057,302.5,1.7,1.3,2021-01-28,0105,A,50,6.0NRT,287.8,13.5,N
9.768,-0.163,302.6,3.4,1.7,2021-01-28,0105,A,46,6.0NRT,290.4,31.9,N
9.759,-0.172,300.9,3.4,1.7,2021-01-28,0105,A,35,6.0NRT,289.8,28.1,N
8.171,11.043,300.5,1.2,1.1,2021-01-28,0105,A,28,6.0NRT,289.3,6.7,N
8.169,11.054,301.5,1.2,1.1,2021-01-28,0105,A,42,6.0NRT,289.3,7.3,N
9.664,-0.031,313.2,3.3,1.7,2021-01-28,0105,A,87,6.0NRT,291.2,68.2,N
9.666,-0.035,310.1,3.3,1.7,2021-01-28,0105,A,79,6.0NRT,291.5,55.9,N
9.424,-0.395,311,3.5,1.8,2021-01-28,0105,A,81,6.0NRT,291.6,62.8,N
9.42,-0.363,306.9,3.4,1.7,2021-01-28,0105,A,70,6.0NRT,292.8,44.1,N
7.463,11.051,301.8,1.2,1.1,2021-01-28,0105,A,45,6.0NRT,291.6,7.1,N
7.038,11.417,306.9,1.3,1.1,2021-01-28,0105,A,70,6.0NRT,291.2,11.4,N
6.662,10.663,310.6,1.2,1.1,2021-01-28,0105,A,80,6.0NRT,292.3,13.3,N
6.556,10.216,300.5,1.1,1.1,2021-01-28,0105,A,28,6.0NRT,285.3,7,N
6.658,9.248,301.5,1,1,2021-01-28,0105,A,41,6.0NRT,283,6.1,N
6.428,9.977,301.7,1.1,1.1,2021-01-28,0105,A,43,6.0NRT,290.5,6.3,N
6.631,5.733,301.6,1.1,1.1,2021-01-28,0105,A,42,6.0NRT,291.1,4.2,N
6.129,6.017,301,1.1,1,2021-01-28,0105,A,37,6.0NRT,284.8,4.9,N
5.908,5.58,302.5,1.1,1.1,2021-01-28,0105,A,49,6.0NRT,289.8,4.5,N
5.906,5.591,306.1,1.1,1.1,2021-01-28,0105,A,67,6.0NRT,289.7,7.2,N
5.954,5.052,305.6,1.2,1.1,2021-01-28,0105,A,65,6.0NRT,293.2,6.1,N
5.66,6.519,307.1,1,1,2021-01-28,0105,A,70,6.0NRT,281.2,8.3,N
5.707,4.484,311.1,1.3,1.1,2021-01-28,0105,A,73,6.0NRT,294.1,10,N
5.71,4.477,307.8,1.3,1.1,2021-01-28,0105,A,57,6.0NRT,294.1,6.9,N
5.708,4.489,312,1.3,1.1,2021-01-28,0105,A,77,6.0NRT,294.2,11.3,N
5.391,6.66,312.5,1,1,2021-01-28,0105,A,85,6.0NRT,288.9,11.4,N
5.362,4.344,310.2,1.3,1.1,2021-01-28,0105,A,70,6.0NRT,294.2,9.5,N
4.665,6.079,303.6,1.1,1,2021-01-28,0105,A,56,6.0NRT,282.2,5.7,N
4.462,7.471,304.3,1,1,2021-01-28,0105,A,60,6.0NRT,292.4,5.3,N
4.031,9.862,302.1,1.2,1.1,2021-01-28,0105,A,46,6.0NRT,288.6,5.2,N
4.424,7.159,310.3,1,1,2021-01-28,0105,A,80,6.0NRT,293.7,8.6,N
4.304,7.664,314.3,1,1,2021-01-28,0105,A,85,6.0NRT,288.8,10.8,N
3.99,7.293,307.6,1,1,2021-01-28,0105,A,52,6.0NRT,289.8,7.3,N
3.58,7.392,313,1,1,2021-01-28,0105,A,81,6.0NRT,293.5,8.9,N
3.579,7.4,319.4,1,1,2021-01-28,0105,A,98,6.0NRT,293.7,14.8,N
3.147,6.828,305.6,1,1,2021-01-28,0105,A,16,6.0NRT,292.9,4.9,N
31.687,6.188,302.8,2.3,1.5,2021-01-28,0100,A,52,6.0NRT,278.4,32.6,N
29.229,19.7,313.4,1.9,1.4,2021-01-28,0100,A,87,6.0NRT,275.2,44.5,N
28.903,20.972,300.5,2.4,1.5,2021-01-28,0100,A,28,6.0NRT,276.6,31.1,N
28.906,19.787,311.3,2,1.4,2021-01-28,0100,A,82,6.0NRT,277.1,42.8,N
28.917,19.782,315,2,1.4,2021-01-28,0100,A,90,6.0NRT,276.6,51,N
28.74,9.785,301.5,1.2,1.1,2021-01-28,0100,A,42,6.0NRT,276.4,12.8,N
28.739,9.798,311.2,1.2,1.1,2021-01-28,0100,A,82,6.0NRT,277.6,21,N
27.931,9.255,301.3,1.3,1.1,2021-01-28,0100,A,40,6.0NRT,277.2,12.7,N
26.584,12.213,301.7,1,1,2021-01-28,0100,A,43,6.0NRT,276.7,9.6,N
35.425,133.544,307.7,1.1,1.1,2021-01-28,0205,T,62,6.0NRT,276.2,14.5,D
36.003,129.39,300.2,1,1,2021-01-28,0205,T,28,6.0NRT,286.6,4.9,D
-1.397,120.755,309.8,1.1,1,2021-01-28,0220,T,44,6.0NRT,286.5,5.6,D
-2.576,121.383,313.1,1,1,2021-01-28,0220,T,71,6.0NRT,285.4,6.5,D
-2.83,122.162,319.3,1,1,2021-01-28,0220,T,53,6.0NRT,290.8,9.7,D
-3.866,120.263,315.5,1.1,1,2021-01-28,0220,T,68,6.0NRT,286.5,8.1,D
-4.036,120.236,311.3,1.1,1,2021-01-28,0220,T,46,6.0NRT,281.4,5,D
9.558,122.923,314,1.1,1,2021-01-28,0215,T,68,6.0NRT,291.3,8.1,D
6.857,124.326,309.5,1,1,2021-01-28,0215,T,55,6.0NRT,289.7,5.7,D
-33.973,-59.016,310.7,1.2,1.1,2021-01-28,0255,T,81,6.0NRT,290.6,14,N
-33.975,-59.029,300.7,1.2,1.1,2021-01-28,0255,T,32,6.0NRT,288.5,6.4,N
-34.783,-70.743,327.8,2.6,1.6,2021-01-28,0255,T,100,6.0NRT,283.6,112.6,N
-34.769,-70.745,315.8,2.6,1.6,2021-01-28,0255,T,61,6.0NRT,284.9,60.7,N
-34.755,-70.747,309.1,2.6,1.6,2021-01-28,0255,T,57,6.0NRT,283.4,41.4,N
-34.794,-70.748,307,2.6,1.6,2021-01-28,0255,T,27,6.0NRT,281.1,36.9,N
-34.78,-70.749,319.5,2.6,1.6,2021-01-28,0255,T,58,6.0NRT,283.4,73.2,N
-34.766,-70.75,319.1,2.6,1.6,2021-01-28,0255,T,82,6.0NRT,285.1,73.5,N
-33.403,-59.48,336.3,1.1,1.1,2021-01-28,0255,T,100,6.0NRT,292.8,45.9,N
-33.405,-59.492,302.1,1.1,1.1,2021-01-28,0255,T,46,6.0NRT,291.4,5.9,N
-33.185,-59.16,301.9,1.2,1.1,2021-01-28,0255,T,45,6.0NRT,288.4,6.5,N
-20.158,119.505,341,1,1,2021-01-28,0225,T,84,6.0NRT,312.6,24.8,D
-20.159,119.515,337.4,1,1,2021-01-28,0225,T,78,6.0NRT,309.4,19.2,D
-20.167,119.503,381.6,1,1,2021-01-28,0225,T,100,6.0NRT,315.1,147.8,D
-20.168,119.513,333.6,1,1,2021-01-28,0225,T,57,6.0NRT,309.7,12.7,D
-20.176,119.502,345.1,1,1,2021-01-28,0225,T,88,6.0NRT,312.5,32.5,D
-20.184,119.505,332.6,1,1,2021-01-28,0225,T,66,6.0NRT,311.4,11.6,D
-20.193,119.504,361.1,1,1,2021-01-28,0225,T,100,6.0NRT,314.4,72.1,D
-20.202,119.502,355.7,1,1,2021-01-28,0225,T,97,6.0NRT,314.3,55.8,D
-20.204,119.512,356,1,1,2021-01-28,0225,T,97,6.0NRT,311.8,57.3,D
-20.233,119.518,348.6,1.1,1,2021-01-28,0225,T,89,6.0NRT,310.1,39.1,D
-20.259,119.504,336.6,1,1,2021-01-28,0225,T,65,6.0NRT,312.1,15.2,D
-20.26,119.514,344.2,1.1,1,2021-01-28,0225,T,87,6.0NRT,309,30.1,D
-21.866,118.204,333.5,1,1,2021-01-28,0225,T,66,6.0NRT,318.6,12,D
-31.86,115.897,320.7,1,1,2021-01-28,0225,T,38,6.0NRT,303.7,4.8,D
-31.861,115.908,321.1,1,1,2021-01-28,0225,T,40,6.0NRT,304.1,4.7,D
-31.992,115.926,320.5,1,1,2021-01-28,0225,T,33,6.0NRT,304.1,4.5,D
-32.066,115.922,320.3,1,1,2021-01-28,0225,T,28,6.0NRT,303,4.4,D
-32.104,115.81,319.5,1,1,2021-01-28,0225,T,15,6.0NRT,302.6,4,D
-28.303,-61.052,324.4,1.1,1.1,2021-01-28,0300,T,100,6.0NRT,295.2,24.7,N
-28.586,-65.814,310.7,1.1,1.1,2021-01-28,0300,T,81,6.0NRT,296.7,9,N
-25.792,-61.621,305.3,1.1,1.1,2021-01-28,0300,T,64,6.0NRT,293.8,7,N
-23.178,-61.249,304.4,1.3,1.1,2021-01-28,0300,T,60,6.0NRT,293.8,7.2,N
9.432,-9.791,300.9,2.2,1.4,2021-01-28,0245,A,35,6.0NRT,285.3,18.1,N
28.026,-15.423,317.3,1.3,1.1,2021-01-28,0240,A,93,6.0NRT,285.6,25.7,N
14.395,-14.501,301.6,1,1,2021-01-28,0240,A,42,6.0NRT,290.3,5.7,N
14.078,-14.408,304,1,1,2021-01-28,0240,A,58,6.0NRT,290.2,6.6,N
13.474,-12.493,305.7,1.2,1.1,2021-01-28,0240,A,50,6.0NRT,291.7,9.7,N
13.473,-12.482,307.5,1.2,1.1,2021-01-28,0240,A,60,6.0NRT,291,11,N
12.978,-10.665,305.4,1.6,1.2,2021-01-28,0240,A,58,6.0NRT,292.4,13.8,N
12.979,-10.672,303,1.6,1.2,2021-01-28,0240,A,53,6.0NRT,290.1,12,N
13.353,-13.288,306.6,1.1,1.1,2021-01-28,0240,A,69,6.0NRT,293.1,8.6,N
13.561,-14.837,303.4,1,1,2021-01-28,0240,A,55,6.0NRT,290.7,6.7,N
13.072,-13.141,301.9,1.1,1.1,2021-01-28,0240,A,45,6.0NRT,291.8,6.3,N
13.071,-13.131,310.5,1.1,1.1,2021-01-28,0240,A,80,6.0NRT,291.4,12.7,N
12.985,-13.235,308.2,1.1,1.1,2021-01-28,0240,A,74,6.0NRT,290.5,11.3,N
13.444,-16.692,304.2,1.1,1,2021-01-28,0240,A,59,6.0NRT,291,7.2,N
12.591,-12.424,309.4,1.3,1.1,2021-01-28,0240,A,66,6.0NRT,294.9,10.9,N
12.59,-12.412,310.6,1.3,1.1,2021-01-28,0240,A,80,6.0NRT,294.9,12.7,N
12.588,-12.401,308.8,1.3,1.1,2021-01-28,0240,A,57,6.0NRT,293.8,11.3,N
12.503,-12.315,304.4,1.3,1.1,2021-01-28,0240,A,60,6.0NRT,287.5,10.2,N
12.501,-12.304,304.8,1.3,1.1,2021-01-28,0240,A,62,6.0NRT,287.7,10.8,N
-27.104,148.373,326.6,2.2,1.4,2021-01-28,0330,A,69,6.0NRT,295.8,49.3,D
-27.107,148.369,322.2,2.2,1.4,2021-01-28,0330,A,53,6.0NRT,296.3,36.2,D
-26.566,150.581,323.9,1.5,1.2,2021-01-28,0330,A,56,6.0NRT,298.9,19.4,D
-21.564,148.902,320,1.7,1.3,2021-01-28,0330,A,55,6.0NRT,299.4,21.9,D
-21.472,148.595,343.3,1.8,1.3,2021-01-28,0330,A,91,6.0NRT,300.5,88.2,D
-21.434,148.55,333.7,1.8,1.3,2021-01-28,0330,A,77,6.0NRT,301.4,56,D
-21.436,148.533,324.6,1.8,1.3,2021-01-28,0330,A,42,6.0NRT,300.9,28.4,D
-21.537,145.212,334.1,3.2,1.7,2021-01-28,0330,A,83,6.0NRT,304,117,D
-21.507,145.209,327.2,3.2,1.7,2021-01-28,0330,A,41,6.0NRT,297.2,65.1,D
-21.524,145.204,327.3,3.2,1.7,2021-01-28,0330,A,57,6.0NRT,298.9,65.1,D
-21.208,148.127,334.1,1.9,1.3,2021-01-28,0330,A,0,6.0NRT,293.4,80.2,D
-21.075,148.396,322.8,1.8,1.3,2021-01-28,0330,A,73,6.0NRT,299.1,28.8,D
-21.077,148.377,320.5,1.8,1.3,2021-01-28,0330,A,69,6.0NRT,298.2,22.9,D
-21.103,148.033,327.4,1.9,1.4,2021-01-28,0330,A,63,6.0NRT,299.8,36.8,D
-20.275,147.664,322.5,2,1.4,2021-01-28,0330,A,34,6.0NRT,302.1,25.8,D
3.306,-64.592,302,2.1,1.4,2021-01-28,0305,T,40,6.0NRT,285,20.4,N
2.171,-73.829,301.9,1.4,1.2,2021-01-28,0305,T,20,6.0NRT,291.1,4.8,N
2.169,-73.841,303.8,1.4,1.2,2021-01-28,0305,T,48,6.0NRT,291.3,6.2,N
2.167,-73.835,309.1,1.4,1.2,2021-01-28,0305,T,76,6.0NRT,291.3,11.7,N
3.158,-72.366,313.2,1.1,1,2021-01-28,0310,T,86,6.0NRT,292.5,12.1,N
3.157,-72.376,317.2,1.1,1,2021-01-28,0310,T,95,6.0NRT,292.7,15.8,N
3.168,-72.367,308.5,1.1,1,2021-01-28,0310,T,75,6.0NRT,292.1,8.5,N
3.166,-72.377,311.3,1.1,1,2021-01-28,0310,T,82,6.0NRT,292.3,10.8,N
3.483,-72.225,303.3,1.1,1,2021-01-28,0310,T,17,6.0NRT,291.7,4.2,N
3.482,-72.235,316.2,1.1,1,2021-01-28,0310,T,93,6.0NRT,292.3,14.3,N
3.493,-72.227,305,1.1,1,2021-01-28,0310,T,63,6.0NRT,291.8,5.6,N
3.491,-72.236,303.7,1.1,1,2021-01-28,0310,T,56,6.0NRT,291.8,4.7,N
3.885,-72.057,306.7,1.1,1,2021-01-28,0310,T,64,6.0NRT,292.3,6.3,N
4.225,-71.22,302,1,1,2021-01-28,0310,T,46,6.0NRT,291.6,3.7,N
4.387,-70.212,301.2,1,1,2021-01-28,0310,T,38,6.0NRT,290.7,3.3,N
4.343,-71.618,302.7,1,1,2021-01-28,0310,T,51,6.0NRT,292.3,4.2,N
5.51,-65.895,302.5,1.8,1.3,2021-01-28,0310,T,49,6.0NRT,290.3,9.6,N
5.662,-67.804,305,1.3,1.1,2021-01-28,0310,T,33,6.0NRT,293.7,7.6,N
